idUser,SalesYear,SalesMonth,Price,간편식사_도시락,간편식사_샌드위치,간편식사_주먹밥,과자류_껌/초,과자류_빵/디,과자류_스낵,식품_가공식,식품_식재료,식품_안주류,아이스크_아이스,음료_아이스,음료_유제품,음료_음료,즉석조리_베이커,즉석조리_즉석커,즉석조리_튀김류,VisitCount,Gender_남성,Gender_여성,AgeGroup_10대,AgeGroup_20대,AgeGroup_30대,AgeGroup_40대,AgeGroup_50대,AgeGroup_60대이상,TempAvg,RainfallAmount,HumidAvg
U100281,2021,12,147230,0,1,1,5,7,6,8,7,5,1,1,1,7,0,0,0,17,0,1,0,0,0,1,0,0,0.5838709677419355,0.25483870967741934,61.49032258064516
U100281,2022,1,78550,1,0,1,3,1,3,5,4,3,0,0,0,0,0,0,0,9,0,1,0,0,0,1,0,0,-2.196774193548387,0.1774193548387097,55.21290322580645
U100281,2022,2,81900,2,2,0,3,3,0,6,1,2,4,0,2,5,0,0,0,14,0,1,0,0,0,1,0,0,-1.125,0.16785714285714287,54.69642857142857
U100281,2022,3,156200,0,2,1,7,7,7,9,7,1,3,2,0,6,0,0,1,22,0,1,0,0,0,1,0,0,7.65483870967742,3.3096774193548386,61.93225806451613
U100281,2022,4,204890,2,3,1,4,4,6,15,8,5,3,0,4,11,0,0,2,30,0,1,0,0,0,1,0,0,14.753333333333332,0.6799999999999999,55.03
U100281,2022,5,286350,3,2,6,10,9,8,14,10,5,3,1,3,10,2,0,1,30,0,1,0,0,0,1,0,0,19.12258064516129,0.24193548387096775,55.335483870967735
U100281,2022,6,241700,2,0,1,8,5,7,16,6,4,6,4,0,11,1,0,0,31,0,1,0,0,0,1,0,0,23.303333333333335,13.126666666666667,73.37666666666668
U100281,2022,7,233200,4,2,3,3,6,6,18,9,4,6,1,1,3,0,0,0,26,0,1,0,0,0,1,0,0,27.32903225806452,8.138709677419355,77.23225806451612
U100281,2022,8,283300,4,0,0,4,4,2,13,11,8,5,0,3,11,0,0,2,28,0,1,0,0,0,1,0,0,25.741935483870968,18.219354838709677,80.17096774193548
U100281,2022,9,313500,2,4,3,7,8,13,18,12,8,6,1,0,13,4,0,1,37,0,1,0,0,0,1,0,0,22.353333333333335,6.716666666666667,68.09
U100281,2022,10,221300,0,3,2,3,1,7,15,10,7,2,0,1,8,1,0,1,25,0,1,0,0,0,1,0,0,14.564516129032258,4.003225806451613,68.88709677419355
U100281,2022,11,184550,2,2,2,1,7,4,8,6,2,3,0,2,6,0,0,3,26,0,1,0,0,0,1,0,0,10.03,2.816666666666667,64.39
